Date,MSCI USA,MSCI USA Value,MSCI USA Low Size,MSCI USA Low Volatility,MSCI USA High Dividend Yield,MSCI USA Quality,MSCI USA Momentum
1/29/1999,2673.05,3277.734545,2384.21,995.479542,997.649417,683.831934,512.942863
2/26/1999,2598.02,3251.106568,2391.18,969.079546,970.419053,658.588413,500.178311
3/31/1999,2705.67,3332.419537,2344.66,989.782505,967.408227,682.563547,528.966699
4/30/1999,2802.00,3624.972158,2410.24,1033.753199,1064.030284,688.421002,530.437255
5/31/1999,2736.32,3560.597835,2663.08,1024.310711,1045.278656,672.911109,515.715429
6/30/1999,2882.88,3659.536265,2632,1042.486413,1072.987918,713.89406,557.455862
7/30/1999,2788.06,3556.91241,2726.34,1018.081696,1038.273465,695.281475,538.810766
8/31/1999,2769.98,3441.614914,2650.26,1000.220499,990.662663,702.845185,536.375561
9/30/1999,2687.15,3282.699449,2568.46,964.466076,950.175369,677.034344,535.006111
10/29/1999,2861.42,3465.876583,2479.31,1022.271558,985.623258,715.90256,579.252046
11/30/1999,2922.44,3455.556486,2579.41,1018.869749,978.974247,737.927703,603.1241
12/31/1999,3125.56,3525.672742,2605.92,1051.757114,946.197624,784.28498,690.144943
1/31/2000,2956.74,3414.873657,2751.04,1012.525258,913.530938,736.103392,642.744811
2/29/2000,2886.05,3190.588181,2578.82,961.077508,817.042573,727.695666,665.260508
3/31/2000,3173.60,3523.187459,2502.1,1052.300294,915.798686,790.480932,727.029645
4/28/2000,3069.68,3531.132706,2694.16,1044.367304,913.200834,766.005075,688.840378
5/31/2000,2988.37,3538.119183,2702.37,1033.943236,928.857301,747.860868,646.318812
6/30/2000,3058.55,3447.358095,2698.07,1027.00939,866.741767,796.530213,685.128124
7/31/2000,3002.69,3475.590655,2611.21,1015.599685,864.659473,770.153487,673.157384
8/31/2000,3158.75,3649.996385,2636.81,1067.695611,900.227181,800.498547,727.736224
9/29/2000,2985.68,3628.593405,2799.05,1063.089526,940.725401,758.226526,660.188555
10/31/2000,2963.24,3680.903191,2736.61,1077.304162,995.189622,772.489346,630.37708
