Date,MSCI USA Value
12/1978,10000
01/1979,10520.183823939498
02/1979,10193.082062665224
03/1979,10757.32562938506
04/1979,10741.765289846182
05/1979,10518.008722713634
06/1979,11068.197789204807
07/1979,11227.091722345542
08/1979,11676.110695920848
09/1979,11694.013452164503
10/1979,10861.172769963525
11/1979,11190.616947942579
12/1979,11269.645625815667
01/1980,11974.434194822144
02/1980,11910.854312835329
03/1980,11008.18730410146
04/1980,11608.849873397954
05/1980,12201.592843359249
06/1980,12518.153729462028
07/1980,13169.847519826888
08/1980,13215.022699133306
09/1980,13332.199306198481
10/1980,13534.260632898688
11/1980,14635.86574605972
12/1980,14288.74189914223
01/1981,14030.797202485193
02/1981,14147.193003982109
03/1981,14880.536748056353
04/1981,14994.534361022186
05/1981,15094.589017411965
06/1981,15074.343844463532
07/1981,14880.536748056353
08/1981,14081.661108074646
09/1981,13567.166010418177
10/1981,13959.911211252524
11/1981,14523.987462493447
12/1981,14106.869973564155
01/1982,13972.236784865758
02/1982,13424.836309689797
03/1982,13437.719601566074
04/1982,13784.508817525739
05/1982,13360.02944752429
06/1982,13199.741218725949
07/1982,12796.622458199017
08/1982,14373.013128687913
09/1982,14368.105207973142
10/1982,15962.119775574172
11/1982,16368.919476637182
12/1982,16582.302484077143
01/1983,17462.10304402628
02/1983,17708.558744464644
03/1983,18368.1163623384
04/1983,19953.988243299016
05/1983,19771.05665302116
06/1983,20146.456815874895
07/1983,19812.550891791503
08/1983,20443.88796555532
09/1983,20546.34081047618
10/1983,20456.38085464747
11/1983,20919.510100277745
12/1983,20763.348986625915
01/1984,21003.614014344515
02/1984,20171.832996843317
03/1984,20523.139730733623
04/1984,20795.417786750844
05/1984,19389.298501968748
06/1984,19531.907061828646
07/1984,19208.76510022197
08/1984,21397.02847709451
09/1984,21821.954021706395
10/1984,21676.55687053128
11/1984,21641.30907630701
12/1984,22173.706930207136
01/1985,23703.416582079393
02/1985,24028.34324212781
03/1985,24194.04133807766
04/1985,24467.155971489443
05/1985,25948.622993608555
06/1985,26340.47584522203
07/1985,25939.532185920954
08/1985,25792.908054567157
09/1985,24844.61969191644
10/1985,26116.328875305353
11/1985,27415.700884541173
12/1985,28454.841552241473
01/1986,28692.819935081596
02/1986,30764.687510457217
03/1986,32196.852238123396
04/1986,31262.004885611987
05/1986,32733.43297899633
06/1986,32969.62666339472
07/1986,31398.645860057335
08/1986,34453.603417697515
09/1986,32087.093283956678
10/1986,33898.61797414418
11/1986,34699.668715351756
12/1986,33522.715864853715
01/1987,37638.50933062654
02/1987,37870.297040746904
03/1987,39105.41990608025
04/1987,38755.39592419494
05/1987,38963.5921517886
06/1987,40913.09634025276
07/1987,42667.45490847843
08/1987,43802.076942811575
09/1987,42974.19995315166
10/1987,34211.88832249501
11/1987,31632.831758708773
12/1987,33570.846950954256
01/1988,36114.93457964775
02/1988,37262.495677683466
03/1988,36106.12263109168
04/1988,36836.175837413975
05/1988,37351.507512465
06/1988,39276.19323822378
07/1988,39241.16853130473
08/1988,37753.34352098694
09/1988,39136.26172602648
10/1988,40399.54936364346
11/1988,39784.33034768156
12/1988,40275.28973463765
01/1989,43344.41333615911
02/1989,42084.91818273081
03/1989,42705.88169680205
04/1989,44542.28062152123
05/1989,45839.58907318379
06/1989,45739.199785836194
07/1989,48925.44422259652
08/1989,49779.58974244572
09/1989,49403.57608950263
10/1989,47777.82735273449
11/1989,48382.115090740765
